[CRITICAL] 2025/09/02 08:48:31.844170 ========== LOG CRÍTICO ==========
[CRITICAL] 2025/09/02 09:04:31.557105 SHUTDOWN: Log crítico encerrado
[CRITICAL] 2025/09/02 09:04:32.850032 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 09:58:17.433936 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 10:52:43.868741 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 12:06:05.292227 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 12:24:36.866494 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 12:47:38.988441 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 12:55:57.277688 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 13:04:42.021366 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 13:43:05.814377 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 13:51:20.543085 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:03:53.725184 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:04:35.331352 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:08:01.125545 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:21:43.232495 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:26:15.055777 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:33:24.004466 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:40:57.435995 ========== ALARMES CRÍTICOS ==========
[CRITICAL] 2025/09/02 14:41:14.413529 ========== ALARMES CRÍTICOS ==========
