[ERROR] 2025/09/02 08:48:31.844177 ========== LOG DE ERROS ==========
[ERROR] 2025/09/02 09:04:31.557017 SHUTDOWN: Total erros=0, Erros rede=0
[ERROR] 2025/09/02 09:04:32.850035 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 09:58:17.433939 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 10:52:43.868745 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 12:06:05.292230 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 12:24:36.866498 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 12:47:38.988445 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 12:55:57.277691 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 13:04:42.021369 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 13:43:05.814381 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 13:51:20.543089 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:03:53.725187 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:04:35.331356 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:08:01.125548 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:21:43.232499 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:26:15.055781 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:33:24.004470 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:40:57.435998 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 14:41:14.413532 ========== FALHAS DO SISTEMA ==========
[ERROR] 2025/09/02 15:35:28.451072 RADAR_CONNECTION_LOST: Radar Caldeira - verificar rede
