[PERFORMANCE] 2025/09/02 08:48:31.844173 ========== LOG DE PERFORMANCE ==========
[PERFORMANCE] 2025/09/02 08:48:31.844217 BOOT: CPU_CORES=6, GO_VERSION=go1.23.5
[PERFORMANCE] 2025/09/02 08:48:35.857914 BOOT_TIME: 4.013728662s
[PERFORMANCE] 2025/09/02 08:49:06.125278 METRICS: GOROUTINES=8, MEMORY=1.0MB, PACKETS=27, ERRORS=0
[PERFORMANCE] 2025/09/02 08:49:37.130183 METRICS: GOROUTINES=8, MEMORY=1.9MB, PACKETS=54, ERRORS=0
[PERFORMANCE] 2025/09/02 08:50:07.424162 METRICS: GOROUTINES=8, MEMORY=2.8MB, PACKETS=81, ERRORS=0
[PERFORMANCE] 2025/09/02 08:50:38.341376 METRICS: GOROUTINES=8, MEMORY=0.3MB, PACKETS=108, ERRORS=0
[PERFORMANCE] 2025/09/02 08:51:08.910482 METRICS: GOROUTINES=8, MEMORY=1.1MB, PACKETS=135, ERRORS=0
[PERFORMANCE] 2025/09/02 08:51:39.407721 METRICS: GOROUTINES=8, MEMORY=1.9MB, PACKETS=162, ERRORS=0
[PERFORMANCE] 2025/09/02 08:52:10.462291 METRICS: GOROUTINES=8, MEMORY=2.9MB, PACKETS=190, ERRORS=0
[PERFORMANCE] 2025/09/02 08:52:41.378959 METRICS: GOROUTINES=8, MEMORY=0.4MB, PACKETS=217, ERRORS=0
[PERFORMANCE] 2025/09/02 08:53:11.480665 METRICS: GOROUTINES=8, MEMORY=1.1MB, PACKETS=243, ERRORS=0
[PERFORMANCE] 2025/09/02 08:53:42.621498 METRICS: GOROUTINES=8, MEMORY=1.9MB, PACKETS=270, ERRORS=0
[PERFORMANCE] 2025/09/02 08:54:13.424237 METRICS: GOROUTINES=8, MEMORY=2.8MB, PACKETS=297, ERRORS=0
[PERFORMANCE] 2025/09/02 08:54:44.137465 METRICS: GOROUTINES=8, MEMORY=0.4MB, PACKETS=325, ERRORS=0
[PERFORMANCE] 2025/09/02 08:55:14.728302 METRICS: GOROUTINES=8, MEMORY=1.1MB, PACKETS=351, ERRORS=0
[PERFORMANCE] 2025/09/02 08:55:45.124417 METRICS: GOROUTINES=8, MEMORY=1.9MB, PACKETS=378, ERRORS=0
[PERFORMANCE] 2025/09/02 08:56:15.385518 METRICS: GOROUTINES=8, MEMORY=2.8MB, PACKETS=405, ERRORS=0
[PERFORMANCE] 2025/09/02 08:56:45.573748 METRICS: GOROUTINES=8, MEMORY=3.5MB, PACKETS=431, ERRORS=0
[PERFORMANCE] 2025/09/02 08:57:16.051947 METRICS: GOROUTINES=8, MEMORY=1.1MB, PACKETS=460, ERRORS=0
[PERFORMANCE] 2025/09/02 08:57:46.566306 METRICS: GOROUTINES=8, MEMORY=2.2MB, PACKETS=489, ERRORS=0
[PERFORMANCE] 2025/09/02 08:58:16.921855 METRICS: GOROUTINES=8, MEMORY=3.0MB, PACKETS=517, ERRORS=0
[PERFORMANCE] 2025/09/02 08:58:47.330585 METRICS: GOROUTINES=8, MEMORY=0.6MB, PACKETS=545, ERRORS=0
[PERFORMANCE] 2025/09/02 08:59:18.015819 METRICS: GOROUTINES=8, MEMORY=1.3MB, PACKETS=572, ERRORS=0
[PERFORMANCE] 2025/09/02 08:59:48.073034 METRICS: GOROUTINES=8, MEMORY=2.1MB, PACKETS=599, ERRORS=0
[PERFORMANCE] 2025/09/02 09:00:18.897036 METRICS: GOROUTINES=8, MEMORY=3.0MB, PACKETS=626, ERRORS=0
[PERFORMANCE] 2025/09/02 09:00:49.058835 METRICS: GOROUTINES=8, MEMORY=0.4MB, PACKETS=652, ERRORS=0
[PERFORMANCE] 2025/09/02 09:01:19.371751 METRICS: GOROUTINES=8, MEMORY=1.2MB, PACKETS=678, ERRORS=0
[PERFORMANCE] 2025/09/02 09:01:49.909912 METRICS: GOROUTINES=8, MEMORY=2.1MB, PACKETS=705, ERRORS=0
[PERFORMANCE] 2025/09/02 09:02:20.137966 METRICS: GOROUTINES=8, MEMORY=2.9MB, PACKETS=732, ERRORS=0
[PERFORMANCE] 2025/09/02 09:02:51.018499 METRICS: GOROUTINES=8, MEMORY=0.3MB, PACKETS=759, ERRORS=0
[PERFORMANCE] 2025/09/02 09:03:21.300699 METRICS: GOROUTINES=8, MEMORY=1.1MB, PACKETS=786, ERRORS=0
[PERFORMANCE] 2025/09/02 09:03:51.471141 METRICS: GOROUTINES=8, MEMORY=1.8MB, PACKETS=812, ERRORS=0
[PERFORMANCE] 2025/09/02 09:04:22.099111 METRICS: GOROUTINES=8, MEMORY=2.5MB, PACKETS=838, ERRORS=0
[PERFORMANCE] 2025/09/02 09:04:31.557088 SHUTDOWN: Uptime=15m59.712801369s, Goroutines=8
